Material Number,Contribution Margin,Gross Margin %,Profit per Customer,Profit per Product,Profit per Batch,Profit per Plant,Planned Material Cost,Actual Material Cost,Packaging Cost,Labor Cost,Quality Cost,Manufacturing Overhead,Freight Cost,Cost Variance,Production Variance,Purchase Price Variance (PPV),Gross Revenue,Contract Manufacturing Fee,Discounts / Rebates,Freight Revenue,Net Revenue,Customer,Customer Group,Product (Material),Material Description,Product Category,Dosage Form,Formula Version,Batch Number,Plant,Sales Organization,Distribution Channel,Region / Country
MAT207822,50044.92,23.96,12678.3,19662.59,5117.51,6508.73,10590.38,11470.85,702.07,896.69,616.62,1788.07,1372.25,1329.13,448.66,880.47,208866.88,155535.97,11418.75,9652.04,153769.26,VitaStore,Retail,Multivitamin Tablets - Tablet,Multivitamin Tablet – High Potency – 90 Count,Multivitamin Tablets,Tablet,FV-A-4,BATCH2026017822,PL05,SO-AP01,B2B,Canada
MAT207823,137392.96,37.63,40511.88,53188.45,14069.92,19840.7,18325.69,20362.26,769.64,2046.24,1040.56,3098.71,1931.93,2136.82,100.25,2036.57,365151.76,244192.68,29818.25,9369.2,223743.63,WellnessMart,E-Commerce,Calcium Supplement - Tablet,Calcium + Vitamin D Tablet – Bone Health,Calcium Supplement,Tablet,FV-B-2,BATCH2026017823,PL03,SO-IN01,B2B,India
MAT207824,20608.82,9.02,7218.19,4607.11,1666.76,3139.33,11565.16,11599.75,1073.93,1707.72,183.74,1532.26,2240.86,725.76,691.17,34.59,228561.3,189176.69,26892.73,1353.97,163637.93,HealthyWorld,Pharmacy,BCAA Formula - Powder,BCAA Powder – 2:1:1 Ratio – Lemon Flavor,BCAA Formula,Powder,FV-C-3,BATCH2026017824,PL02,SO-IN01,B2B,Germany
MAT207825,133704.58,31.16,36514.99,49891.34,6877.47,38459.38,21489.88,21347.01,1149.54,2095.61,1145.12,1771.72,7518.13,-1206.26,-1063.39,-142.87,429081.32,302357.73,28969.98,8684.16,282071.91,HealthyWorld,Pharmacy,Post-Workout - Powder,Post-Workout Recovery Powder – Muscle Repair,Post-Workout,Powder,FV-C-2,BATCH2026017825,PL03,SO-IN01,B2B,USA
MAT207826,25728.18,5.45,8959.18,9789.03,1542.36,5649.57,23630.32,23535.23,2344.25,3458.2,1302.5,2290.07,4863.89,-380.08,-284.99,-95.09,472326.92,400304.64,54953.24,9043.47,354394.87,WellnessMart,Retail,Prenatal Vitamin - Capsule,Prenatal Multivitamin Capsule – DHA Enriched – 90 Count,Prenatal Vitamin,Capsule,FV-B-1,BATCH2026017826,PL05,SO-AP01,B2B,Singapore
MAT207827,77205.02,45.07,28278.51,17074.03,7880.81,14042.07,8730.68,8529.43,251.11,1380.15,133.47,1471.38,3393.33,108.82,310.07,-201.25,171293.35,107465.82,21939.39,1236.44,86762.87,PetCareCo,Distributors,Probiotic Powder - Powder,Probiotic Powder – Unflavored – 30 Servings,Probiotic Powder,Powder,FV-B-3,BATCH2026017827,PL04,SO-IN01,B2B,UK
MAT207828,117384.04,41.55,35275.41,44233.37,10871.88,28161.11,14237.01,15755.57,498.73,1642,771.74,2170.44,5656.33,1350.52,-168.04,1518.56,282543.77,182797.29,24110.41,8864.48,167551.36,VitaStore,Wholesale,Herbal Supplement - Capsule,Ashwagandha Capsule – 600 mg – Stress Support,Herbal Supplement,Capsule,FV-A-4,BATCH2026017828,PL02,SO-IN01,B2B,South Africa
MAT207829,14043.07,26.98,5499.5,4785.18,1857.24,1648.89,2828.89,2962.4,172.36,493.79,127.83,621.88,879.26,64.22,-69.29,133.51,52052.99,37889.25,7524.31,7096.75,37461.69,NutriPlus,E-Commerce,Creatine - Powder,Creatine Monohydrate Powder – Micronized – 300 g,Creatine,Powder,FV-B-1,BATCH2026017829,PL04,SO-US01,B2B,UK
MAT207830,11388.68,10.93,2624.49,3917.22,1601.45,2585.34,5411.49,5794.17,484.14,377.67,248.87,1266.56,5153.39,754.9,372.22,382.68,104232.18,85165.65,4147.49,7253.9,88272.06,BioHealth,Wholesale,Iron Supplement - Tablet,Iron Tablet – 65 mg – Gentle Formula,Iron Supplement,Tablet,FV-B-1,BATCH2026017830,PL02,SO-US01,B2C,USA
MAT207831,71437.48,34.07,18511.57,28052.1,8380.03,11982.92,10629.91,11039.06,513.6,940.05,618.34,2066.67,2841.86,-26.62,-435.77,409.15,209665.55,144352.27,12251.66,9641.34,141741.95,PeakNutrition,Pharmacy,Collagen Powder - Powder,Collagen Peptides Powder – Unflavored – 500 g,Collagen Powder,Powder,FV-D-2,BATCH2026017831,PL02,SO-IN01,B2B,Brazil
MAT207832,13184.58,12.31,5267.4,3636.8,1374.94,2955.68,5551.97,5473.74,483.01,997.59,160.78,956.51,5042.9,409.79,488.02,-78.23,107070.34,86659.2,16026.59,3916.05,74548.66,NutriPlus,Retail,Multivitamin Capsules - Capsule,Multivitamin Capsule – Daily Nutrition – 60 Count,Multivitamin Capsules,Capsule,FV-C-5,BATCH2026017832,PL02,SO-AP01,B2B,South Africa
MAT207833,135420.2,30.85,31600.65,47320.86,17972.67,16240.48,21975.73,23986.5,1187.49,1575.2,1040.76,4848.29,977.14,1383.15,-627.62,2010.77,438897.44,310020.98,18292.88,7522.42,299250.52,PetCareCo,Distributors,Creatine - Powder,Creatine Monohydrate Powder – Micronized – 300 g,Creatine,Powder,FV-B-2,BATCH2026017833,PL04,SO-AP01,B2B,UAE
MAT207834,9681.6,11.62,3700.92,3353.05,728.21,975.35,4378.01,4322.54,386.31,737.57,203.94,537.91,228.95,-272.36,-216.89,-55.47,83351.7,67785.6,11541.81,7370.25,63614.04,PetCareCo,Pharmacy,Protein Powder - Powder,Whey Protein Powder – Chocolate – 1 kg,Protein Powder,Powder,FV-D-1,BATCH2026017834,PL02,SO-IN01,B2B,UK
MAT207835,86492.97,37.52,33217.04,30538.9,11338.55,22911.9,11663.69,12995.19,492.14,1978.49,563,2541.01,6631.06,1625.62,294.12,1331.5,230552.11,154321.87,32191.55,7700.9,129831.22,HealthyWorld,E-Commerce,Amino Acid - Powder,Essential Amino Acid Powder – Berry Flavor,Amino Acid,Powder,FV-A-2,BATCH2026017835,PL05,SO-IN01,B2B,UAE
MAT207836,87681.4,28.76,28749.33,26510.87,7844.02,20466.11,15339.63,16894.52,885.88,2042.08,545.92,2256.2,5403.16,3045.29,1490.4,1554.89,304821.12,218853.31,31434.55,5215.37,192634.13,NutriPlus,Pharmacy,Skin & Coat - Capsule,Pet Omega Supplement – Skin & Coat Health,Skin & Coat,Capsule,FV-A-5,BATCH2026017836,PL03,SO-EU01,B2B,UAE
MAT207837,130153.14,37.46,27305.33,39720.3,7980.2,16040.56,17450.67,18671.31,738.14,983.62,633.38,1731.69,1106.5,1772.38,551.74,1220.64,347472.63,232696.45,9161.46,5353.88,228888.87,VitaStore,E-Commerce,Herbal Supplement - Capsule,Ashwagandha Capsule – 600 mg – Stress Support,Herbal Supplement,Capsule,FV-D-4,BATCH2026017837,PL01,SO-EU01,B2C,UK
MAT207838,78460.67,40.31,23685.09,29266.27,9964.54,9341.04,9885.2,9363.77,367.91,1148.83,526.4,2084.8,943.1,251.57,773,-521.43,194619.34,127243.27,16779.48,8677.27,119141.06,CarePharma,Distributors,Keto Supplement - Capsule,Keto Support Capsule – Exogenous Ketones,Keto Supplement,Capsule,FV-A-3,BATCH2026017838,PL04,SO-IN01,B2B,UK
MAT207839,135124.08,31.05,28895.47,32901.1,10277.08,32985.34,21792.93,21619.69,1170.1,1285.75,454.86,2708.78,5820.35,173.1,346.34,-173.24,435204.04,306943.5,12620.31,2330.91,296654.1,VitaStore,E-Commerce,BCAA Formula - Powder,BCAA Powder – 2:1:1 Ratio – Lemon Flavor,BCAA Formula,Powder,FV-B-1,BATCH2026017839,PL01,SO-US01,B2B,Singapore
MAT207840,100034.34,34.94,26639.81,32355.87,9938.38,21514.26,14423.82,14374.96,674.7,1342.85,589.38,2363.98,4687.68,1352.24,1401.1,-48.86,286317.98,195748.93,18066.47,6248.93,183931.39,VitaStore,E-Commerce,Herbal Supplement - Capsule,Ashwagandha Capsule – 600 mg – Stress Support,Herbal Supplement,Capsule,FV-A-2,BATCH2026017840,PL05,SO-IN01,B2B,Germany
MAT207841,32445.13,14.58,6601.27,9830.63,3643.15,4938.16,11267.94,12400.04,934.92,588.74,402.81,2094.57,2235.82,982.88,-149.22,1132.1,222556.35,177329.95,4951.59,5246.64,177625,NutriPlus,Retail,Digestive Enzyme - Capsule,Digestive Enzyme Capsule – Broad Spectrum,Digestive Enzyme,Capsule,FV-B-1,BATCH2026017841,PL04,SO-US01,B2B,Brazil
MAT207842,6261.85,16.36,1309.8,1771.8,771.37,1547.36,2147.4,2176.71,171.39,120.17,66.01,438.96,5937.28,222.22,192.91,29.31,38284.11,30126.14,993.92,4264.64,33396.86,FitLife,Distributors,Multivitamin Capsules - Capsule,Multivitamin Capsule – Daily Nutrition – 60 Count,Multivitamin Capsules,Capsule,FV-B-3,BATCH2026017842,PL05,SO-US01,B2C,Brazil
MAT207843,79590.19,33.87,27016.18,30089.86,7905.53,14200.66,11884.89,11463.33,578.61,1671.45,647.9,1947.43,3258.47,-997.81,-576.25,-421.56,235021.29,162079.69,26001.97,8924.94,145002.66,GreenHerb,Pharmacy,Pet Multivitamin - Tablet,Pet Multivitamin Chew – Dogs – 120 Chews,Pet Multivitamin,Tablet,FV-B-2,BATCH2026017843,PL02,SO-EU01,B2C,Brazil
MAT207844,21993.06,5.35,8719.13,4602.43,2119.73,4954.54,20608.03,22995.26,2048.07,3661.88,253.83,3273.56,5085.81,3825.46,1438.23,2387.23,411264.24,348780.24,60740.45,654.1,288693.89,GreenHerb,Pharmacy,Pet Multivitamin - Tablet,Pet Multivitamin Chew – Dogs – 120 Chews,Pet Multivitamin,Tablet,FV-A-4,BATCH2026017844,PL05,SO-IN01,B2C,Germany
MAT207845,19100.07,6.18,6809.46,5184.22,2052.56,3338.32,15556.25,17351.93,1523.07,2360.42,433.34,2764.15,3116.45,1365.76,-429.92,1795.68,309197.8,260795.81,37640.09,3699.78,226855.5,WellnessMart,Distributors,Skin & Coat - Capsule,Pet Omega Supplement – Skin & Coat Health,Skin & Coat,Capsule,FV-B-3,BATCH2026017845,PL03,SO-US01,B2B,Brazil
MAT207846,36261.63,8.7,10124.39,12535.52,4953.49,9581.5,20887.98,19988.88,1951.49,2119.77,969.71,4746.31,6605.07,-1381.6,-482.5,-899.1,416920.41,345818.12,29802.57,7339.13,323354.68,WellnessMart,Wholesale,Digestive Enzyme - Capsule,Digestive Enzyme Capsule – Broad Spectrum,Digestive Enzyme,Capsule,FV-B-5,BATCH2026017846,PL03,SO-EU01,B2C,South Africa
MAT207847,58908.26,23.61,15756.43,17114.31,8553.93,17579.97,12603.29,13789.06,843.42,1182.92,411.26,3048.14,7938.75,796.89,-388.88,1185.77,249535.78,186310.15,15934.88,4635.72,175010.99,PetCareCo,Distributors,Mineral Supplement - Tablet,Magnesium Glycinate Tablet – 400 mg,Mineral Supplement,Tablet,FV-B-5,BATCH2026017847,PL03,SO-US01,B2B,UAE
MAT207848,20011.79,31.45,7980.26,7159.27,2289.34,4488.45,3402.31,3229.64,180.27,609.71,168.2,644.67,5047.32,-289.79,-117.12,-172.67,63638.54,44742.84,9495.23,7929.88,43177.49,PeakNutrition,Distributors,Protein Powder - Powder,Whey Protein Powder – Chocolate – 1 kg,Protein Powder,Powder,FV-A-1,BATCH2026017848,PL01,SO-AP01,B2B,UK
MAT207849,4220.51,35.91,1039.73,1260.56,311.7,965.62,834.18,840.64,37.57,66.84,28.92,100.56,5222.85,36.15,29.69,6.46,11751.72,7970.67,589.09,5035.04,12416.62,NutriPlus,E-Commerce,Probiotic Powder - Powder,Probiotic Powder – Unflavored – 30 Servings,Probiotic Powder,Powder,FV-D-5,BATCH2026017849,PL04,SO-EU01,B2C,Singapore
MAT207850,76497.72,49.32,15891.22,17576.07,10320.67,12004.52,7928.88,7682.8,168.11,436.31,138.28,1778.88,2420.13,-325.16,-79.08,-246.08,155093.68,93639.05,3881.6,1658.21,91415.66,NutriPlus,E-Commerce,Skin & Coat - Capsule,Pet Omega Supplement – Skin & Coat Health,Skin & Coat,Capsule,FV-D-2,BATCH2026017850,PL02,SO-AP01,B2B,USA
MAT207851,75599.42,21.57,19069.01,24754.13,7704.18,16445.27,17600.77,19344.37,1241.64,1477.66,736.76,2961.21,4783.74,982.91,-760.69,1743.6,350505.28,265666.07,18911.28,6444.47,253199.26,PeakNutrition,E-Commerce,Multivitamin Capsules - Capsule,Multivitamin Capsule – Daily Nutrition – 60 Count,Multivitamin Capsules,Capsule,FV-C-5,BATCH2026017851,PL04,SO-US01,B2B,Brazil
MAT207852,99471.4,25.11,26691.7,26560.24,14853.5,12636.59,19861.37,19259.24,1276.15,1875.27,531.36,4942.53,1254.46,-1199.46,-597.33,-602.13,396178.65,292494.92,25521.05,3483.68,270457.55,VitaStore,Pharmacy,Protein Powder - Powder,Whey Protein Powder – Chocolate – 1 kg,Protein Powder,Powder,FV-B-4,BATCH2026017852,PL01,SO-EU01,B2C,Germany
MAT207853,32786.35,21.66,9757.23,7606.79,2298.77,8454.5,7745.94,7955.83,545.23,878.7,139.45,884.53,6356.79,418.76,208.87,209.89,151397.65,114678.86,12632.66,1768.53,103814.73,GreenHerb,Retail,Vitamin B-Complex - Capsule,Vitamin B-Complex Capsule – Energy Formula – 60 Count,Vitamin B-Complex,Capsule,FV-B-2,BATCH2026017853,PL04,SO-EU01,B2C,Germany
MAT207854,60289.04,24.08,20472.21,19457.91,4109.44,15875.38,12643.52,12019.01,835.44,1779.18,514.41,1401.86,6569.52,-1112.5,-487.99,-624.51,250348.69,186256.6,27718.35,6214.44,164752.69,FitLife,Wholesale,Digestive Enzyme - Capsule,Digestive Enzyme Capsule – Broad Spectrum,Digestive Enzyme,Capsule,FV-B-1,BATCH2026017854,PL05,SO-US01,B2B,Brazil
MAT207855,93498.73,43.8,30968.1,34509.95,13952.59,26661.88,10817.41,11549.27,335.53,1463.48,565.47,2690.15,7421.15,1177.62,445.76,731.86,213453.86,135421.32,22474.38,8485.68,121432.62,CarePharma,E-Commerce,Pet Multivitamin - Tablet,Pet Multivitamin Chew – Dogs – 120 Chews,Pet Multivitamin,Tablet,FV-D-1,BATCH2026017855,PL04,SO-IN01,B2B,Singapore
MAT207856,38951.55,18.71,12687,11177.86,5366.62,5632.61,10557.81,10455.09,798.49,1390.6,335.13,2420.07,1939.61,-236.6,-133.88,-102.72,208208.78,161121.29,21177.55,4461.45,144405.19,NutriPlus,Wholesale,Probiotic (Pet) - Powder,Pet Probiotic Powder – Digestive Health,Probiotic (Pet),Powder,FV-B-5,BATCH2026017856,PL05,SO-EU01,B2C,UK
MAT207857,40373.52,33.78,15245.93,10509.58,6049.63,5885.48,6168.04,6553.74,301.22,1020.53,154.68,1540.35,1985.26,233.58,-152.12,385.7,119517.61,82480.17,16189.17,3155.12,69446.12,VitaStore,Wholesale,Prenatal Vitamin - Capsule,Prenatal Multivitamin Capsule – DHA Enriched – 90 Count,Prenatal Vitamin,Capsule,FV-B-5,BATCH2026017857,PL04,SO-EU01,B2B,Germany
MAT207858,19406.87,26.77,6134.99,7593.72,1935.32,5419.23,3841.09,4023.09,235.47,481.98,222.1,631.97,7190.47,452.78,270.78,182,72503.7,52860.54,6922.72,9573.22,55511.04,HealthyWorld,Retail,Multivitamin Tablets - Tablet,Multivitamin Tablet – High Potency – 90 Count,Multivitamin Tablets,Tablet,FV-C-1,BATCH2026017858,PL01,SO-IN01,B2B,Germany
MAT207859,34337.54,33.55,8075.61,11609.62,4932.07,7711.85,5318.87,4895.7,261.97,387.58,236.83,1272.16,5058.99,-62.87,360.3,-423.17,102360.84,70773.66,4388.1,6967.04,73352.6,BioHealth,Retail,Pet Multivitamin - Tablet,Pet Multivitamin Chew – Dogs – 120 Chews,Pet Multivitamin,Tablet,FV-C-2,BATCH2026017859,PL01,SO-IN01,B2B,USA
MAT207860,15874.11,49.01,4320.84,4384.91,2207.16,1766.98,1855.64,2037.34,40.38,179.86,53.92,429.34,641.18,154.5,-27.2,181.7,32389.53,19611.86,2167.7,3935.27,21379.43,NutriPlus,Pharmacy,Skin & Coat - Capsule,Pet Omega Supplement – Skin & Coat Health,Skin & Coat,Capsule,FV-D-3,BATCH2026017860,PL04,SO-IN01,B2B,UK
MAT207861,10879.62,10.56,3638.98,2827.47,1297.57,1919.93,5354.2,5502.05,482.54,735.72,133.7,1058.8,3182.35,47.48,-100.37,147.85,103074.72,84432.47,11071.25,3134.45,76495.67,WellnessMart,Distributors,Multivitamin Capsules - Capsule,Multivitamin Capsule – Daily Nutrition – 60 Count,Multivitamin Capsules,Capsule,FV-B-1,BATCH2026017861,PL04,SO-IN01,B2C,India
MAT207862,4137.74,43.31,1262.21,944.06,220.27,515.98,725.42,750.12,23.14,85.8,12.36,62.02,1163.33,26.82,2.12,24.7,9554.44,6087.93,843.48,1579.82,6824.27,NutriPlus,Retail,Pre-Workout - Powder,Pre-Workout Powder – Energy & Endurance,Pre-Workout,Powder,FV-C-4,BATCH2026017862,PL02,SO-EU01,B2B,UAE
MAT207863,75094.29,23.8,23712.59,21988.22,9636.21,11554.17,15867.83,16597.62,1056.38,1987.46,526.84,3382.17,2300.62,1910.18,1180.39,729.79,315492.91,235213.61,30051.04,4747.6,209910.17,NutriPlus,E-Commerce,Pet Multivitamin - Tablet,Pet Multivitamin Chew – Dogs – 120 Chews,Pet Multivitamin,Tablet,FV-D-2,BATCH2026017863,PL02,SO-US01,B2B,Australia
MAT207864,16579.31,10.26,4304.98,4428.52,1729.17,1834.1,8251.2,8737.93,747.98,732.53,220.95,1421.72,614.41,705.68,218.95,486.73,161605.83,132643.28,9499.02,3488.45,126632.71,BioHealth,Distributors,Herbal Supplement - Capsule,Ashwagandha Capsule – 600 mg – Stress Support,Herbal Supplement,Capsule,FV-A-3,BATCH2026017864,PL01,SO-IN01,B2B,Australia
MAT207865,194878.23,40.04,50208.35,77775.94,11855.68,34676.36,24342.05,22887.33,917.85,2129.1,1455.05,2395.79,3239.61,341.47,1796.19,-1454.72,486706.63,318954.58,27968.95,9955.91,300941.54,WellnessMart,Wholesale,Pet Multivitamin - Tablet,Pet Multivitamin Chew – Dogs – 120 Chews,Pet Multivitamin,Tablet,FV-C-3,BATCH2026017865,PL02,SO-AP01,B2B,Germany
MAT207866,31739.31,31.46,9206.65,8989.76,2740.71,5565.23,5246.07,5560.17,277.84,569.44,161.63,743.87,3138.34,195.83,-118.27,314.1,100889.94,70926,7924.52,4278.63,67280.11,WellnessMart,Pharmacy,Pre-Workout - Powder,Pre-Workout Powder – Energy & Endurance,Pre-Workout,Powder,FV-D-2,BATCH2026017866,PL03,SO-EU01,B2C,Canada
MAT207867,58144.73,33,12023.04,13586.29,3337.71,10402.03,8972.8,8706.07,450.6,488.17,165.24,830.75,3277.06,-430.45,-163.72,-266.73,176185.14,122348.77,4299.91,1849.5,119898.36,PetCareCo,Distributors,Synbiotic Formula - Capsule,Synbiotic Capsule – Probiotic + Prebiotic,Synbiotic Formula,Capsule,FV-D-1,BATCH2026017867,PL04,SO-EU01,B2B,India
MAT207868,83753.25,45.99,23998.96,21465.97,6123.03,23651.9,9267.11,8533,251.49,984.66,223.11,1105.41,7313.59,-589.09,145.02,-734.11,182131.37,113341.28,13888.13,2958.71,102411.86,WellnessMart,Retail,Skin & Coat - Capsule,Pet Omega Supplement – Skin & Coat Health,Skin & Coat,Capsule,FV-B-3,BATCH2026017868,PL02,SO-US01,B2C,Australia
MAT207869,2841.53,30.94,847.32,571.11,353.79,688.03,707.06,707.98,38.1,80.48,7.25,146.12,5743.23,10.48,9.56,0.92,9183.49,6482.44,769.8,248.4,5961.04,FitLife,Wholesale,Vitamin D - Tablet,Vitamin D3 Tablet – 2000 IU – 120 Count,Vitamin D,Tablet,FV-D-4,BATCH2026017869,PL03,SO-US01,B2C,South Africa
MAT207870,119494.52,28.42,25338.21,37268.56,7062.93,33178.26,21060.59,20427.58,1229.06,1217.92,799.7,2010.9,7128.55,-1576.96,-943.95,-633.01,420407.94,302638.9,11699.62,5682.37,296621.65,VitaStore,Distributors,Protein Powder - Powder,Whey Protein Powder – Chocolate – 1 kg,Protein Powder,Powder,FV-D-2,BATCH2026017870,PL03,SO-US01,B2B,UAE
MAT207871,10169.23,48.8,2100.51,3845.34,985.16,1770.76,1283.86,1192.18,28.41,69.66,70.01,205.02,3091.03,-96.85,-5.17,-91.68,20837.26,12640.91,505.53,8928.62,21064,BioHealth,Retail,Vitamin D - Tablet,Vitamin D3 Tablet – 2000 IU – 120 Count,Vitamin D,Tablet,FV-D-5,BATCH2026017871,PL05,SO-EU01,B2B,Singapore
MAT207872,131866.65,28.03,26611.95,41996.02,9272.81,34110.88,23534.41,22766.04,1389.74,1204.4,932.39,2695.71,6388.41,1269.01,2037.38,-768.37,470389.02,339637.78,9961.05,6005.2,335681.93,BioHealth,Wholesale,Pet Multivitamin - Tablet,Pet Multivitamin Chew – Dogs – 120 Chews,Pet Multivitamin,Tablet,FV-D-1,BATCH2026017872,PL02,SO-US01,B2B,Singapore
MAT207873,204432.34,45.78,55678.17,44342.96,10889.11,32055.4,22355.82,24552.29,614.93,2169.2,318.05,1912.56,2415.28,4086.9,1890.43,2196.47,446576.8,278421.67,29934.37,1028.48,249515.78,PetCareCo,Retail,Multivitamin Tablets - Tablet,Multivitamin Tablet – High Potency – 90 Count,Multivitamin Tablets,Tablet,FV-B-2,BATCH2026017873,PL04,SO-US01,B2B,Brazil
MAT207874,26573.99,9.84,7963.03,9434.29,3422.05,4776.28,13620.29,13821.7,1244.85,1563.28,664.06,2913.6,3309.67,1541.75,1340.34,201.41,270083.35,222309.84,22896.49,7795.97,207209.32,VitaStore,Wholesale,Multivitamin Capsules - Capsule,Multivitamin Capsule – Daily Nutrition – 60 Count,Multivitamin Capsules,Capsule,FV-D-4,BATCH2026017874,PL04,SO-EU01,B2C,UAE
MAT207875,56852.1,20.74,13335.17,13299.23,5152.34,14096.56,13818.09,12990.32,995.08,1001.31,255.38,2059.81,5970.11,120.56,948.33,-827.77,274079.81,208996.66,11638.36,1862.41,199220.71,VitaStore,E-Commerce,Iron Supplement - Tablet,Iron Tablet – 65 mg – Gentle Formula,Iron Supplement,Tablet,FV-A-3,BATCH2026017875,PL03,SO-IN01,B2B,India
MAT207876,155965.68,47.46,59130.06,39734.51,9287.78,45247,16517.56,16324.02,404.91,2749.01,391.32,1589.57,7614.24,1121.43,1314.97,-193.54,328620.07,201807.8,44833.46,2883.46,159857.8,CarePharma,E-Commerce,Iron Supplement - Tablet,Iron Tablet – 65 mg – Gentle Formula,Iron Supplement,Tablet,FV-D-1,BATCH2026017876,PL02,SO-EU01,B2B,Canada
MAT207877,25130.19,12.78,7957.68,6042.15,1818.39,3404.6,9982.73,9911.4,860.15,1256.11,200.74,1178.06,1583.67,510.79,582.12,-71.33,196589.76,158600.9,18838.78,2181.27,141943.39,WellnessMart,Pharmacy,Pet Multivitamin - Tablet,Pet Multivitamin Chew – Dogs – 120 Chews,Pet Multivitamin,Tablet,FV-D-1,BATCH2026017877,PL05,SO-IN01,B2C,UAE
MAT207878,109742.57,33.73,35064.2,42690.8,10331.46,25856.8,16356.95,16894.43,800.31,2088.51,936.47,2536.02,5488.92,378.72,-158.76,537.48,325375.03,224638.88,31783.8,9461.42,202316.5,WellnessMart,Wholesale,Mineral Supplement - Tablet,Magnesium Glycinate Tablet – 400 mg,Mineral Supplement,Tablet,FV-A-2,BATCH2026017878,PL01,SO-AP01,B2C,UAE
MAT207879,10822.65,39.85,2306.9,3254.05,942.96,2793.66,1596.83,1689.28,60.76,93.5,56.16,228.54,6367.11,250.11,157.66,92.45,27160.35,17828.17,775.45,5132.83,22185.55,WellnessMart,Pharmacy,Vitamin D - Tablet,Vitamin D3 Tablet – 2000 IU – 120 Count,Vitamin D,Tablet,FV-C-2,BATCH2026017879,PL02,SO-EU01,B2B,USA
MAT207880,12248.48,38.57,2646.5,4252.34,1537.02,2574.25,1824.17,1814.09,73.54,110.26,85.36,380.03,4496.6,54.14,64.22,-10.08,31753.58,21067.87,966.71,7411.47,27512.63,BioHealth,Retail,Skin & Coat - Capsule,Pet Omega Supplement – Skin & Coat Health,Skin & Coat,Capsule,FV-B-4,BATCH2026017880,PL01,SO-IN01,B2B,Brazil
MAT207881,53443.17,23.1,16083.31,19250.5,4266.5,7069.17,11702.15,12665.46,793.61,1352.91,585.71,1529.65,1458.7,1297.85,334.54,963.31,231329.06,173364.86,19804.66,8050.04,161610.24,BioHealth,Pharmacy,BCAA Formula - Powder,BCAA Powder – 2:1:1 Ratio – Lemon Flavor,BCAA Formula,Powder,FV-B-5,BATCH2026017881,PL04,SO-US01,B2B,Singapore
MAT207882,128363.63,46.33,45248.62,39146.86,9154.45,20723.42,13965.75,13735.38,370.43,2082.67,506.15,1623.35,2596.28,1046,1276.37,-230.37,277063.04,171886.65,33005.76,5343.46,144224.35,HealthyWorld,Distributors,Probiotic Capsules - Capsule,Probiotic Capsule – 20 Billion CFU – Gut Health,Probiotic Capsules,Capsule,FV-C-2,BATCH2026017882,PL04,SO-IN01,B2B,USA
MAT207883,210485.17,47.36,77402.68,69931.18,20091.48,24848.51,22251.53,23270.17,549.6,3538.6,958.14,3499.51,904.09,2512.87,1494.23,1018.64,444469.73,273209.45,57348.81,6679.66,222540.3,VitaStore,Retail,Mineral Supplement - Tablet,Magnesium Glycinate Tablet – 400 mg,Mineral Supplement,Tablet,FV-D-2,BATCH2026017883,PL03,SO-EU01,B2B,UK
MAT207884,12362.29,21.76,3810.25,3180.75,631.73,3443.96,3064.19,2891.55,215.11,368.75,74.53,250.87,7164.85,45.97,218.61,-172.64,56807.01,42995.99,5131.95,3007.41,40871.45,CarePharma,Pharmacy,Iron Supplement - Tablet,Iron Tablet – 65 mg – Gentle Formula,Iron Supplement,Tablet,FV-D-2,BATCH2026017884,PL04,SO-IN01,B2B,Canada
MAT207885,23966.24,5.81,7617.36,9476.26,3399.74,3953.63,20654.87,20578.2,2035.59,2614.78,1215.54,4877.74,2733.7,817.42,894.09,-76.67,412210.72,348514.83,39817.09,9774.61,318472.35,GreenHerb,Distributors,Multivitamin Capsules - Capsule,Multivitamin Capsule – Daily Nutrition – 60 Count,Multivitamin Capsules,Capsule,FV-C-4,BATCH2026017885,PL01,SO-AP01,B2B,Canada
MAT207886,30780.33,28.25,9938.49,7170.03,3795.32,7813.73,5646.16,5856.6,331.28,733.29,102.96,1155.29,6200.34,439.65,229.21,210.44,108973.43,78554.27,10883.71,1814.15,69484.71,NutriPlus,Retail,Synbiotic Formula - Capsule,Synbiotic Capsule – Probiotic + Prebiotic,Synbiotic Formula,Capsule,FV-D-3,BATCH2026017886,PL03,SO-EU01,B2C,USA
MAT207887,62826.92,31.4,16465.8,13386.23,5954.54,7948.66,10155.05,10724.38,538.85,917.54,134.72,1585.41,1234.15,1277.88,708.55,569.33,200071.41,140714.39,12074.95,840.19,129479.63,CarePharma,Wholesale,Collagen Powder - Powder,Collagen Peptides Powder – Unflavored – 500 g,Collagen Powder,Powder,FV-C-5,BATCH2026017887,PL01,SO-EU01,B2B,USA
MAT207888,11928.5,7.38,4712.72,3196.34,1632.34,2019.74,8256.76,9140.07,790.8,1459.82,222.85,1879.52,2903.49,852.6,-30.71,883.31,161718.21,135325.71,23740.65,3529.96,115115.02,NutriPlus,Pharmacy,Herbal Supplement - Capsule,Ashwagandha Capsule – 600 mg – Stress Support,Herbal Supplement,Capsule,FV-D-4,BATCH2026017888,PL05,SO-AP01,B2C,Singapore
